Team 1,Team 2,Winner,Margin,Ground,Match Date,ODI No
Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,"Mar 6, 1996",ODI # 1074
Pakistan,New Zealand,Pakistan,46 runs,Lahore,"Mar 6, 1996",ODI # 1076
England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,"Mar 9, 1996",ODI # 1077
India,Pakistan,India,39 runs,Bengaluru,"Mar 9, 1996",ODI # 1078
South Africa,West Indies,West Indies,19 runs,Karachi,"Mar 11, 1996",ODI # 1079
Australia,New Zealand,Australia,6 wickets,Chennai,"Mar 11, 1996",ODI # 1080
India,Sri Lanka,Sri Lanka,,Kolkata,"Mar 13, 1996",ODI # 1081
Australia,West Indies,Australia,5 runs,Mohali,"Mar 14, 1996",ODI # 1082
Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore,"Mar 17, 1996",ODI # 1083
West Indies,New Zealand,West Indies,1 wicket,Kingston,"Mar 26, 1996",ODI # 1084
West Indies,New Zealand,New Zealand,4 wickets,Port of Spain,"Mar 29, 1996",ODI # 1085
West Indies,New Zealand,West Indies,7 wickets,Port of Spain,"Mar 30, 1996",ODI # 1086
Pakistan,Sri Lanka,no result,,Singapore,"Apr 1, 1996",ODI # 1087
Pakistan,Sri Lanka,Sri Lanka,34 runs,Singapore,"Apr 2, 1996",ODI # 1088
India,Sri Lanka,India,12 runs,Singapore,"Apr 3, 1996",ODI # 1089
West Indies,New Zealand,New Zealand,4 runs,Georgetown,"Apr 3, 1996",ODI # 1090
India,Pakistan,Pakistan,8 wickets,Singapore,"Apr 5, 1996",ODI # 1091
West Indies,New Zealand,West Indies,7 wickets,Kingstown,"Apr 6, 1996",ODI # 1092
Pakistan,Sri Lanka,Pakistan,43 runs,Singapore,"Apr 7, 1996",ODI # 1093
India,Pakistan,Pakistan,38 runs,Sharjah,"Apr 12, 1996",ODI # 1094
Pakistan,South Africa,South Africa,143 runs,Sharjah,"Apr 13, 1996",ODI # 1095
West Indies,Sri Lanka,Sri Lanka,35 runs,Port of Spain,"Apr 13, 1996",ODI # 1096
India,South Africa,South Africa,80 runs,Sharjah,"Apr 14, 1996",ODI # 1097
India,Pakistan,India,28 runs,Sharjah,"Apr 15, 1996",ODI # 1098
Pakistan,South Africa,South Africa,8 wickets,Sharjah,"Apr 16, 1996",ODI # 1099
India,South Africa,South Africa,5 wickets,Sharjah,"Apr 17, 1996",ODI # 1100
India,South Africa,South Africa,38 runs,Sharjah,"Apr 19, 1996",ODI # 1101
England,India,no result,,The Oval,"May 23-24, 1996",ODI # 1102
England,India,England,6 wickets,Leeds,"May 25, 1996",ODI # 1103
England,India,England,4 wickets,Manchester,"May 26-27, 1996",ODI # 1104
Australia,Zimbabwe,Australia,125 runs,Colombo (RPS),"Aug 26, 1996",ODI # 1105
Sri Lanka,India,Sri Lanka,9 wickets,Colombo (RPS),"Aug 28, 1996",ODI # 1106
England,Pakistan,England,5 wickets,Manchester,"Aug 29, 1996",ODI # 1107
Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),"Aug 30, 1996",ODI # 1108
England,Pakistan,England,107 runs,Birmingham,"Aug 31, 1996",ODI # 1109
India,Zimbabwe,India,7 wickets,Colombo (SSC),"Sep 1, 1996",ODI # 1110
England,Pakistan,Pakistan,2 wickets,Nottingham,"Sep 1, 1996",ODI # 1111
Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Sep 3, 1996",ODI # 1112
Australia,India,Australia,3 wickets,Colombo (SSC),"Sep 6, 1996",ODI # 1113
Sri Lanka,Australia,Sri Lanka,50 runs,Colombo (RPS),"Sep 7, 1996",ODI # 1114
India,Pakistan,India,8 wickets,Toronto,"Sep 16, 1996",ODI # 1115
India,Pakistan,Pakistan,2 wickets,Toronto,"Sep 17, 1996",ODI # 1116
India,Pakistan,India,55 runs,Toronto,"Sep 18, 1996",ODI # 1117
India,Pakistan,Pakistan,97 runs,Toronto,"Sep 21, 1996",ODI # 1118
India,Pakistan,Pakistan,52 runs,Toronto,"Sep 23, 1996",ODI # 1119
Kenya,Sri Lanka,Sri Lanka,7 wickets,Nairobi (Gym),"Sep 28, 1996",ODI # 1120
Pakistan,South Africa,South Africa,62 runs,Nairobi (Gym),"Sep 29, 1996",ODI # 1121
South Africa,Sri Lanka,Sri Lanka,2 wickets,Nairobi (Club),"Oct 1, 1996",ODI # 1122
Kenya,Pakistan,Pakistan,4 wickets,Nairobi (Aga),"Oct 2, 1996",ODI # 1123
Kenya,South Africa,South Africa,202 runs,Nairobi (Gym),"Oct 3, 1996",ODI # 1124
Pakistan,Sri Lanka,Pakistan,82 runs,Nairobi (Gym),"Oct 4, 1996",ODI # 1125
Pakistan,South Africa,South Africa,7 wickets,Nairobi (Gym),"Oct 6, 1996",ODI # 1126
India,South Africa,South Africa,47 runs,Hyderabad (Deccan),"Oct 17, 1996",ODI # 1127
Australia,South Africa,South Africa,7 wickets,Indore,"Oct 19, 1996",ODI # 1128
India,Australia,India,2 wickets,Bengaluru,"Oct 21, 1996",ODI # 1129
India,South Africa,South Africa,27 runs,Jaipur,"Oct 23, 1996",ODI # 1130
Australia,South Africa,South Africa,2 wickets,Faridabad,"Oct 25, 1996",ODI # 1131
India,South Africa,South Africa,5 wickets,Rajkot,"Oct 29, 1996",ODI # 1132
Pakistan,Zimbabwe,Pakistan,3 wickets,Quetta,"Oct 30, 1996",ODI # 1133
Australia,South Africa,South Africa,8 wickets,Guwahati,"Nov 1, 1996",ODI # 1134
Pakistan,Zimbabwe,Pakistan,9 wickets,Lahore,"Nov 1, 1996",ODI # 1135
Pakistan,Zimbabwe,Pakistan,78 runs,Peshawar,"Nov 3, 1996",ODI # 1136
India,Australia,India,5 runs,Mohali,"Nov 3, 1996",ODI # 1137
India,South Africa,India,35 runs,Mumbai,"Nov 6, 1996",ODI # 1138
New Zealand,Sri Lanka,New Zealand,29 runs,Sharjah,"Nov 7, 1996",ODI # 1139
Pakistan,Sri Lanka,Sri Lanka,75 runs,Sharjah,"Nov 8, 1996",ODI # 1140
New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,"Nov 10, 1996",ODI # 1141
New Zealand,Sri Lanka,tied,,Sharjah,"Nov 11, 1996",ODI # 1142
Pakistan,Sri Lanka,Pakistan,8 wickets,Sharjah,"Nov 12, 1996",ODI # 1143
New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,"Nov 13, 1996",ODI # 1144
New Zealand,Pakistan,Pakistan,41 runs,Sharjah,"Nov 15, 1996",ODI # 1145
Pakistan,New Zealand,Pakistan,11 runs,Gujranwala,"Dec 4, 1996",ODI # 1146
Australia,West Indies,Australia,5 wickets,Melbourne,"Dec 6, 1996",ODI # 1147
Pakistan,New Zealand,Pakistan,46 runs,Sialkot,"Dec 6, 1996",ODI # 1148
Australia,West Indies,Australia,8 wickets,Sydney,"Dec 8, 1996",ODI # 1149
Pakistan,New Zealand,New Zealand,7 wickets,Karachi,"Dec 8, 1996",ODI # 1150
India,South Africa,India,74 runs,Mumbai,"Dec 14, 1996",ODI # 1151
Australia,Pakistan,Pakistan,12 runs,Adelaide,"Dec 15, 1996",ODI # 1152
Zimbabwe,England,Zimbabwe,2 wickets,Bulawayo,"Dec 15, 1996",ODI # 1153
Pakistan,West Indies,West Indies,7 wickets,Adelaide,"Dec 17, 1996",ODI # 1154
Australia,Pakistan,Pakistan,4 wickets,Sydney,"Jan 1, 1997",ODI # 1155
Zimbabwe,England,Zimbabwe,7 runs,Harare,"Jan 1, 1997",ODI # 1156
Pakistan,West Indies,West Indies,6 wickets,Brisbane,"Jan 3, 1997",ODI # 1157
Zimbabwe,England,Zimbabwe,131 runs,Harare,"Jan 3, 1997",ODI # 1158
Australia,West Indies,West Indies,7 wickets,Brisbane,"Jan 5, 1997",ODI # 1159
Australia,Pakistan,Pakistan,29 runs,Hobart,"Jan 7, 1997",ODI # 1160
Pakistan,West Indies,West Indies,5 wickets,Perth,"Jan 10, 1997",ODI # 1161
Australia,West Indies,West Indies,4 wickets,Perth,"Jan 12, 1997",ODI # 1162
Pakistan,West Indies,Pakistan,8 wickets,Sydney,"Jan 14, 1997",ODI # 1163
Australia,Pakistan,Australia,3 wickets,Melbourne,"Jan 16, 1997",ODI # 1164
Pakistan,West Indies,Pakistan,4 wickets,Sydney,"Jan 18, 1997",ODI # 1165
Pakistan,West Indies,Pakistan,62 runs,Melbourne,"Jan 20, 1997",ODI # 1166
South Africa,India,South Africa,39 runs,Bloemfontein,"Jan 23, 1997",ODI # 1167
South Africa,Zimbabwe,South Africa,5 wickets,Centurion,"Jan 25, 1997",ODI # 1168
India,Zimbabwe,tied,,Paarl,"Jan 27, 1997",ODI # 1169
South Africa,Zimbabwe,South Africa,5 wickets,Cape Town,"Jan 29, 1997",ODI # 1170
South Africa,Zimbabwe,South Africa,4 wickets,Johannesburg,"Jan 31, 1997",ODI # 1171
South Africa,India,South Africa,6 wickets,Port Elizabeth,"Feb 2, 1997",ODI # 1172
South Africa,India,South Africa,6 wickets,East London,"Feb 4, 1997",ODI # 1173
India,Zimbabwe,Zimbabwe,3 wickets,Centurion,"Feb 7, 1997",ODI # 1174
India,Zimbabwe,India,6 wickets,Benoni,"Feb 9, 1997",ODI # 1175
South Africa,India,no result,,Durban,"Feb 12, 1997",ODI # 1176
South Africa,India,South Africa,17 runs,Durban,"Feb 13, 1997",ODI # 1177
Zimbabwe,India,Zimbabwe,8 wickets,Bulawayo,"Feb 15, 1997",ODI # 1178
New Zealand,England,England,4 wickets,Christchurch,"Feb 20, 1997",ODI # 1179
New Zealand,England,England,6 wickets,Auckland,"Feb 23, 1997",ODI # 1180
New Zealand,England,tied,,Napier,"Feb 26, 1997",ODI # 1181
New Zealand,England,New Zealand,9 runs,Auckland,"Mar 2, 1997",ODI # 1182
New Zealand,England,New Zealand,28 runs,Wellington,"Mar 4, 1997",ODI # 1183
New Zealand,Sri Lanka,Sri Lanka,6 wickets,Christchurch,"Mar 25, 1997",ODI # 1184
New Zealand,Sri Lanka,New Zealand,69 runs,Wellington,"Mar 27, 1997",ODI # 1185
South Africa,Australia,South Africa,6 wickets,East London,"Mar 29, 1997",ODI # 1186
South Africa,Australia,Australia,7 wickets,Port Elizabeth,"Mar 31, 1997",ODI # 1187
South Africa,Australia,South Africa,46 runs,Cape Town,"Apr 2, 1997",ODI # 1188
Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah,"Apr 3, 1997",ODI # 1189
Pakistan,Sri Lanka,Sri Lanka,19 runs,Sharjah,"Apr 4, 1997",ODI # 1190
South Africa,Australia,Australia,15 runs,Durban,"Apr 5, 1997",ODI # 1191
Pakistan,Zimbabwe,Pakistan,93 runs,Sharjah,"Apr 6, 1997",ODI # 1192
Pakistan,Sri Lanka,Sri Lanka,51 runs,Sharjah,"Apr 7, 1997",ODI # 1193
Sri Lanka,Zimbabwe,Zimbabwe,50 runs,Sharjah,"Apr 8, 1997",ODI # 1194
South Africa,Australia,Australia,8 runs,Johannesburg,"Apr 8, 1997",ODI # 1195
Pakistan,Zimbabwe,Pakistan,32 runs,Sharjah,"Apr 9, 1997",ODI # 1196
South Africa,Australia,Australia,5 wickets,Centurion,"Apr 10, 1997",ODI # 1197
Pakistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,"Apr 11, 1997",ODI # 1198
South Africa,Australia,South Africa,109 runs,Bloemfontein,"Apr 13, 1997",ODI # 1199
West Indies,India,West Indies,8 wickets,Port of Spain,"Apr 26, 1997",ODI # 1200
West Indies,India,India,10 wickets,Port of Spain,"Apr 27, 1997",ODI # 1201
West Indies,India,West Indies,18 runs,Kingstown,"Apr 30, 1997",ODI # 1202
West Indies,India,West Indies,10 wickets,Bridgetown,"May 3, 1997",ODI # 1203
New Zealand,Pakistan,New Zealand,22 runs,Mohali,"May 9, 1997",ODI # 1204
Pakistan,Sri Lanka,Pakistan,30 runs,Gwalior,"May 12, 1997",ODI # 1205
India,New Zealand,India,8 wickets,Bengaluru,"May 14, 1997",ODI # 1206
India,Sri Lanka,Sri Lanka,5 wickets,Mumbai,"May 17, 1997",ODI # 1207
New Zealand,Sri Lanka,Sri Lanka,52 runs,Hyderabad (Deccan),"May 20, 1997",ODI # 1208
India,Pakistan,Pakistan,35 runs,Chennai,"May 21, 1997",ODI # 1209
England,Australia,England,6 wickets,Leeds,"May 22, 1997",ODI # 1210
Pakistan,Sri Lanka,Sri Lanka,115 runs,Mohali,"May 24, 1997",ODI # 1212
England,Australia,England,6 wickets,The Oval,"May 24, 1997",ODI # 1211
England,Australia,England,6 wickets,Lord's,"May 25, 1997",ODI # 1213
Pakistan,Sri Lanka,Sri Lanka,85 runs,Kolkata,"May 27, 1997",ODI # 1214
West Indies,Sri Lanka,West Indies,35 runs,Port of Spain,"Jun 6, 1997",ODI # 1215
Sri Lanka,Pakistan,Sri Lanka,15 runs,Colombo (RPS),"Jul 14, 1997",ODI # 1216
Bangladesh,Pakistan,Pakistan,109 runs,Colombo (RPS),"Jul 16, 1997",ODI # 1217
Sri Lanka,India,Sri Lanka,6 wickets,Colombo (RPS),"Jul 18, 1997",ODI # 1218
India,Pakistan,no result,,Colombo (SSC),"Jul 20, 1997",ODI # 1219
Sri Lanka,Bangladesh,Sri Lanka,103 runs,Colombo (SSC),"Jul 22, 1997",ODI # 1220
Bangladesh,India,India,9 wickets,Colombo (SSC),"Jul 24, 1997",ODI # 1221
Sri Lanka,India,Sri Lanka,8 wickets,Colombo (RPS),"Jul 26, 1997",ODI # 1222
Sri Lanka,India,Sri Lanka,2 runs,Colombo (RPS),"Aug 17, 1997",ODI # 1223
Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Aug 20, 1997",ODI # 1224
Sri Lanka,India,no result,,Colombo (SSC),"Aug 23, 1997",ODI # 1225
Sri Lanka,India,Sri Lanka,9 runs,Colombo (SSC),"Aug 24, 1997",ODI # 1226
India,Pakistan,India,20 runs,Toronto,"Sep 13, 1997",ODI # 1227
India,Pakistan,India,7 wickets,Toronto,"Sep 14, 1997",ODI # 1228
India,Pakistan,no result,,Toronto,"Sep 17, 1997",ODI # 1229
India,Pakistan,India,34 runs,Toronto,"Sep 18, 1997",ODI # 1230
India,Pakistan,India,7 wickets,Toronto,"Sep 20, 1997",ODI # 1231
India,Pakistan,Pakistan,5 wickets,Toronto,"Sep 21, 1997",ODI # 1232
Pakistan,India,Pakistan,5 wickets,Hyderabad (Sind),"Sep 28, 1997",ODI # 1233
Pakistan,India,India,4 wickets,Karachi,"Sep 30, 1997",ODI # 1234
Zimbabwe,New Zealand,tied,,Bulawayo,"Oct 1, 1997",ODI # 1235
Pakistan,India,Pakistan,9 wickets,Lahore,"Oct 2, 1997",ODI # 1236
Zimbabwe,New Zealand,Zimbabwe,3 wickets,Harare,"Oct 4, 1997",ODI # 1237
Zimbabwe,New Zealand,New Zealand,83 runs,Harare,"Oct 5, 1997",ODI # 1238
Kenya,Bangladesh,Kenya,150 runs,Nairobi (Gym),"Oct 10, 1997",ODI # 1239
Bangladesh,Zimbabwe,Zimbabwe,48 runs,Nairobi (Gym),"Oct 11, 1997",ODI # 1240
Kenya,Zimbabwe,Zimbabwe,6 wickets,Nairobi (Gym),"Oct 12, 1997",ODI # 1241
Bangladesh,Zimbabwe,Zimbabwe,192 runs,Nairobi (Aga),"Oct 14, 1997",ODI # 1242
Kenya,Bangladesh,Kenya,8 wickets,Nairobi (Aga),"Oct 15, 1997",ODI # 1243
Kenya,Zimbabwe,Zimbabwe,7 wickets,Nairobi (Aga),"Oct 16, 1997",ODI # 1244
Kenya,Zimbabwe,Zimbabwe,83 runs,Nairobi (Gym),"Oct 18, 1997",ODI # 1245
Kenya,Zimbabwe,Zimbabwe,82 runs,Nairobi (Gym),"Oct 19, 1997",ODI # 1246
Sri Lanka,West Indies,Sri Lanka,7 wickets,Lahore,"Nov 1, 1997",ODI # 1247
Pakistan,South Africa,South Africa,9 runs,Lahore,"Nov 2, 1997",ODI # 1248
South Africa,West Indies,South Africa,5 wickets,Lahore,"Nov 3, 1997",ODI # 1249
Pakistan,West Indies,Pakistan,8 wickets,Lahore,"Nov 4, 1997",ODI # 1250
Pakistan,Sri Lanka,Sri Lanka,8 wickets,Lahore,"Nov 5, 1997",ODI # 1251
South Africa,Sri Lanka,South Africa,66 runs,Lahore,"Nov 6, 1997",ODI # 1252
South Africa,Sri Lanka,South Africa,4 wickets,Lahore,"Nov 8, 1997",ODI # 1253
Australia,South Africa,South Africa,67 runs,Sydney,"Dec 4, 1997",ODI # 1254
New Zealand,South Africa,New Zealand,47 runs,Adelaide,"Dec 6, 1997",ODI # 1255
Australia,New Zealand,Australia,3 wickets,Adelaide,"Dec 7, 1997",ODI # 1256
Australia,South Africa,South Africa,45 runs,Melbourne,"Dec 9, 1997",ODI # 1257
New Zealand,South Africa,South Africa,1 run,Hobart,"Dec 11, 1997",ODI # 1258
England,India,England,7 runs,Sharjah,"Dec 11, 1997",ODI # 1259
Pakistan,West Indies,West Indies,43 runs,Sharjah,"Dec 12, 1997",ODI # 1260
England,West Indies,England,4 wickets,Sharjah,"Dec 13, 1997",ODI # 1261
India,Pakistan,Pakistan,4 wickets,Sharjah,"Dec 14, 1997",ODI # 1262
England,Pakistan,England,8 runs,Sharjah,"Dec 15, 1997",ODI # 1263
India,West Indies,West Indies,41 runs,Sharjah,"Dec 16, 1997",ODI # 1264
Australia,New Zealand,Australia,6 wickets,Melbourne,"Dec 17, 1997",ODI # 1265
England,West Indies,England,3 wickets,Sharjah,"Dec 19, 1997",ODI # 1266
India,Sri Lanka,India,7 wickets,Guwahati,"Dec 22, 1997",ODI # 1267
India,Sri Lanka,no result,,Indore,"Dec 25, 1997",ODI # 1268
India,Sri Lanka,Sri Lanka,5 wickets,Margao,"Dec 28, 1997",ODI # 1269
New Zealand,South Africa,South Africa,2 runs,Brisbane,"Jan 9, 1998",ODI # 1270
Bangladesh,India,India,4 wickets,Dhaka,"Jan 10, 1998",ODI # 1271
India,Pakistan,India,18 runs,Dhaka,"Jan 11, 1998",ODI # 1273
Australia,South Africa,South Africa,5 wickets,Brisbane,"Jan 11, 1998",ODI # 1272
Bangladesh,Pakistan,Pakistan,9 wickets,Dhaka,"Jan 12, 1998",ODI # 1274
India,Pakistan,India,8 wickets,Dhaka,"Jan 14, 1998",ODI # 1276
Australia,New Zealand,Australia,131 runs,Sydney,"Jan 14, 1998",ODI # 1275
India,Pakistan,Pakistan,6 wickets,Dhaka,"Jan 16, 1998",ODI # 1277
New Zealand,South Africa,South Africa,67 runs,Perth,"Jan 16, 1998",ODI # 1278
India,Pakistan,India,3 wickets,Dhaka,"Jan 18, 1998",ODI # 1279
Australia,South Africa,South Africa,7 wickets,Perth,"Jan 18, 1998",ODI # 1280
Australia,New Zealand,New Zealand,4 wickets,Melbourne,"Jan 21, 1998",ODI # 1281
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (SSC),"Jan 22, 1998",ODI # 1282
Australia,South Africa,South Africa,6 runs,Melbourne,"Jan 23, 1998",ODI # 1283
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (RPS),"Jan 24, 1998",ODI # 1284
Australia,South Africa,Australia,7 wickets,Sydney,"Jan 26, 1998",ODI # 1285
Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Colombo (SSC),"Jan 26, 1998",ODI # 1286
Australia,South Africa,Australia,14 runs,Sydney,"Jan 27, 1998",ODI # 1287
New Zealand,Zimbabwe,New Zealand,40 runs,Hamilton,"Feb 4, 1998",ODI # 1288
New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,"Feb 6, 1998",ODI # 1289
New Zealand,Australia,Australia,7 wickets,Christchurch,"Feb 8, 1998",ODI # 1290
New Zealand,Australia,Australia,66 runs,Wellington,"Feb 10, 1998",ODI # 1291
New Zealand,Australia,New Zealand,7 wickets,Napier,"Feb 12, 1998",ODI # 1292
New Zealand,Australia,New Zealand,30 runs,Auckland,"Feb 14, 1998",ODI # 1293
New Zealand,Zimbabwe,Zimbabwe,1 run,Christchurch,"Mar 4, 1998",ODI # 1294
New Zealand,Zimbabwe,New Zealand,9 wickets,Napier,"Mar 6, 1998",ODI # 1295
New Zealand,Zimbabwe,New Zealand,2 runs,Auckland,"Mar 8, 1998",ODI # 1296
Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,"Mar 28, 1998",ODI # 1297
Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,"Mar 29, 1998",ODI # 1298
West Indies,England,England,16 runs,Bridgetown,"Mar 29, 1998",ODI # 1299
India,Australia,India,41 runs,Kochi,"Apr 1, 1998",ODI # 1300
West Indies,England,West Indies,1 wicket,Bridgetown,"Apr 1, 1998",ODI # 1301
Australia,Zimbabwe,Australia,13 runs,Ahmedabad,"Apr 3, 1998",ODI # 1302
South Africa,Pakistan,South Africa,52 runs,Durban,"Apr 3, 1998",ODI # 1303
West Indies,England,West Indies,5 wickets,Kingstown,"Apr 4, 1998",ODI # 1304
India,Zimbabwe,India,13 runs,Vadodara,"Apr 5, 1998",ODI # 1305
South Africa,Sri Lanka,South Africa,57 runs,Johannesburg,"Apr 5, 1998",ODI # 1306
West Indies,England,West Indies,4 wickets,Kingstown,"Apr 5, 1998",ODI # 1307
India,Australia,India,6 wickets,Kanpur,"Apr 7, 1998",ODI # 1308
Pakistan,Sri Lanka,Pakistan,4 wickets,Kimberley,"Apr 7, 1998",ODI # 1309
West Indies,England,West Indies,57 runs,Port of Spain,"Apr 8, 1998",ODI # 1310
India,Zimbabwe,India,32 runs,Cuttack,"Apr 9, 1998",ODI # 1311
Pakistan,Sri Lanka,Pakistan,110 runs,Paarl,"Apr 9, 1998",ODI # 1312
Australia,Zimbabwe,Australia,16 runs,Delhi,"Apr 11, 1998",ODI # 1313
South Africa,Pakistan,South Africa,3 wickets,East London,"Apr 11, 1998",ODI # 1314
South Africa,Sri Lanka,Sri Lanka,6 wickets,Port Elizabeth,"Apr 13, 1998",ODI # 1315
India,Australia,Australia,4 wickets,Delhi,"Apr 14, 1998",ODI # 1316
Pakistan,Sri Lanka,Sri Lanka,115 runs,Benoni,"Apr 15, 1998",ODI # 1317
South Africa,Pakistan,South Africa,7 wickets,Centurion,"Apr 17, 1998",ODI # 1318
India,New Zealand,India,15 runs,Sharjah,"Apr 17, 1998",ODI # 1319
Australia,New Zealand,Australia,6 wickets,Sharjah,"Apr 18, 1998",ODI # 1320
South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,"Apr 19, 1998",ODI # 1321
Australia,India,Australia,58 runs,Sharjah,"Apr 19, 1998",ODI # 1322
India,New Zealand,New Zealand,4 wickets,Sharjah,"Apr 20, 1998",ODI # 1323
Australia,New Zealand,Australia,5 wickets,Sharjah,"Apr 21, 1998",ODI # 1324
Australia,India,Australia,26 runs,Sharjah,"Apr 22, 1998",ODI # 1325
South Africa,Pakistan,South Africa,9 wickets,Cape Town,"Apr 23, 1998",ODI # 1326
Australia,India,India,6 wickets,Sharjah,"Apr 24, 1998",ODI # 1327
India,Bangladesh,India,5 wickets,Mohali,"May 14, 1998",ODI # 1328
Bangladesh,Kenya,Bangladesh,6 wickets,Hyderabad (Deccan),"May 17, 1998",ODI # 1329
India,Kenya,India,4 wickets,Bengaluru,"May 20, 1998",ODI # 1330
England,South Africa,South Africa,3 wickets,The Oval,"May 21, 1998",ODI # 1331
Bangladesh,Kenya,Kenya,28 runs,Chennai,"May 23, 1998",ODI # 1333
England,South Africa,South Africa,32 runs,Manchester,"May 23, 1998",ODI # 1332
England,South Africa,England,7 wickets,Leeds,"May 24, 1998",ODI # 1334
India,Bangladesh,India,5 wickets,Mumbai,"May 25, 1998",ODI # 1335
India,Kenya,Kenya,69 runs,Gwalior,"May 28, 1998",ODI # 1336
India,Kenya,India,9 wickets,Kolkata,"May 31, 1998",ODI # 1337
Sri Lanka,India,India,8 wickets,Colombo (RPS),"Jun 19, 1998",ODI # 1338
Sri Lanka,New Zealand,Sri Lanka,7 wickets,Colombo (RPS),"Jun 21, 1998",ODI # 1339
India,New Zealand,no result,,Colombo (RPS),"Jun 23, 1998",ODI # 1340
Sri Lanka,India,Sri Lanka,8 runs,Colombo (SSC),"Jul 1, 1998",ODI # 1341
India,New Zealand,no result,,Colombo (SSC),"Jul 3, 1998",ODI # 1342
Sri Lanka,New Zealand,Sri Lanka,87 runs,Colombo (SSC),"Jul 5, 1998",ODI # 1343
Sri Lanka,India,India,6 runs,Colombo (RPS),"Jul 7, 1998",ODI # 1344
South Africa,Sri Lanka,Sri Lanka,57 runs,Nottingham,"Aug 14, 1998",ODI # 1345
England,Sri Lanka,England,36 runs,Lord's,"Aug 16, 1998",ODI # 1346
England,South Africa,South Africa,14 runs,Birmingham,"Aug 18, 1998",ODI # 1347
England,Sri Lanka,Sri Lanka,5 wickets,Lord's,"Aug 20, 1998",ODI # 1348
India,Pakistan,India,6 wickets,Toronto,"Sep 12, 1998",ODI # 1349
India,Pakistan,Pakistan,51 runs,Toronto,"Sep 13, 1998",ODI # 1350
India,Pakistan,Pakistan,77 runs,Toronto,"Sep 16, 1998",ODI # 1351
India,Pakistan,Pakistan,134 runs,Toronto,"Sep 19, 1998",ODI # 1352
India,Pakistan,Pakistan,5 wickets,Toronto,"Sep 20, 1998",ODI # 1353
Zimbabwe,India,India,8 wickets,Bulawayo,"Sep 26, 1998",ODI # 1354
Zimbabwe,India,India,8 wickets,Bulawayo,"Sep 27, 1998",ODI # 1355
Zimbabwe,India,Zimbabwe,37 runs,Harare,"Sep 30, 1998",ODI # 1356
New Zealand,Zimbabwe,New Zealand,5 wickets,Dhaka,"Oct 24, 1998",ODI # 1357
England,South Africa,South Africa,6 wickets,Dhaka,"Oct 25, 1998",ODI # 1358
New Zealand,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Oct 26, 1998",ODI # 1359
Australia,India,India,44 runs,Dhaka,"Oct 28, 1998",ODI # 1360
Pakistan,West Indies,West Indies,30 runs,Dhaka,"Oct 29, 1998",ODI # 1361
South Africa,Sri Lanka,South Africa,92 runs,Dhaka,"Oct 30, 1998",ODI # 1362
India,West Indies,West Indies,6 wickets,Dhaka,"Oct 31, 1998",ODI # 1363
South Africa,West Indies,South Africa,4 wickets,Dhaka,"Nov 1, 1998",ODI # 1364
Pakistan,Australia,Australia,86 runs,Karachi,"Nov 6, 1998",ODI # 1365
India,Sri Lanka,India,3 wickets,Sharjah,"Nov 6, 1998",ODI # 1366
Sri Lanka,Zimbabwe,Zimbabwe,7 wickets,Sharjah,"Nov 7, 1998",ODI # 1367
Pakistan,Australia,Australia,5 wickets,Peshawar,"Nov 8, 1998",ODI # 1368
India,Zimbabwe,India,7 wickets,Sharjah,"Nov 8, 1998",ODI # 1369
India,Sri Lanka,India,81 runs,Sharjah,"Nov 9, 1998",ODI # 1370
Pakistan,Australia,Australia,6 wickets,Lahore,"Nov 10, 1998",ODI # 1371
Sri Lanka,Zimbabwe,Zimbabwe,24 runs,Sharjah,"Nov 10, 1998",ODI # 1372
India,Zimbabwe,Zimbabwe,13 runs,Sharjah,"Nov 11, 1998",ODI # 1373
India,Zimbabwe,India,10 wickets,Sharjah,"Nov 13, 1998",ODI # 1374
Pakistan,Zimbabwe,Pakistan,4 wickets,Gujranwala,"Nov 20, 1998",ODI # 1375
Pakistan,Zimbabwe,Zimbabwe,6 wickets,Sheikhupura,"Nov 22, 1998",ODI # 1376
Pakistan,Zimbabwe,Pakistan,111 runs,Rawalpindi,"Nov 24, 1998",ODI # 1377
New Zealand,India,New Zealand,5 wickets,Taupo,"Jan 9, 1999",ODI # 1378
Australia,England,England,7 runs,Brisbane,"Jan 10, 1999",ODI # 1379
